@relation snake_game-weka.filters.unsupervised.attribute.Remove-R13-15

@attribute head_x numeric
@attribute head_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute food_left numeric
@attribute food_up numeric
@attribute food_right numeric
@attribute food_down numeric
@attribute left_occ numeric
@attribute up_occ numeric
@attribute right_occ numeric
@attribute down_occ numeric
@attribute dist_left numeric
@attribute dist_up numeric
@attribute dist_right numeric
@attribute dist_down numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
100,50,310,250,0,0,1,1,1,0,0,0,10,60,320,370,RIGHT
110,50,310,250,0,0,1,1,1,0,0,0,10,60,310,370,RIGHT
120,50,310,250,0,0,1,1,1,0,0,0,10,60,300,370,RIGHT
130,50,310,250,0,0,1,1,1,0,0,0,10,60,290,370,RIGHT
140,50,310,250,0,0,1,1,1,0,0,0,10,60,280,370,DOWN
140,60,310,250,0,0,1,1,0,1,0,0,150,10,280,360,DOWN
140,70,310,250,0,0,1,1,0,1,0,0,150,10,280,350,DOWN
140,80,310,250,0,0,1,1,0,1,0,0,150,10,280,340,DOWN
140,90,310,250,0,0,1,1,0,1,0,0,150,10,280,330,DOWN
140,100,310,250,0,0,1,1,0,1,0,0,150,10,280,320,RIGHT
150,100,310,250,0,0,1,1,1,0,0,0,10,110,270,320,RIGHT
160,100,310,250,0,0,1,1,1,0,0,0,10,110,260,320,RIGHT
170,100,310,250,0,0,1,1,1,0,0,0,10,110,250,320,RIGHT
180,100,310,250,0,0,1,1,1,0,0,0,10,110,240,320,RIGHT
190,100,310,250,0,0,1,1,1,0,0,0,10,110,230,320,RIGHT
200,100,310,250,0,0,1,1,1,0,0,0,10,110,220,320,RIGHT
210,100,310,250,0,0,1,1,1,0,0,0,10,110,210,320,DOWN
210,110,310,250,0,0,1,1,0,1,0,0,220,10,210,310,DOWN
210,120,310,250,0,0,1,1,0,1,0,0,220,10,210,300,DOWN
210,130,310,250,0,0,1,1,0,1,0,0,220,10,210,290,DOWN
210,140,310,250,0,0,1,1,0,1,0,0,220,10,210,280,DOWN
210,150,310,250,0,0,1,1,0,1,0,0,220,10,210,270,DOWN
210,160,310,250,0,0,1,1,0,1,0,0,220,10,210,260,DOWN
210,170,310,250,0,0,1,1,0,1,0,0,220,10,210,250,DOWN
210,180,310,250,0,0,1,1,0,1,0,0,220,10,210,240,DOWN
210,190,310,250,0,0,1,1,0,1,0,0,220,10,210,230,DOWN
210,200,310,250,0,0,1,1,0,1,0,0,220,10,210,220,DOWN
210,210,310,250,0,0,1,1,0,1,0,0,220,10,210,210,DOWN
210,220,310,250,0,0,1,1,0,1,0,0,220,10,210,200,DOWN
210,230,310,250,0,0,1,1,0,1,0,0,220,10,210,190,DOWN
210,240,310,250,0,0,1,1,0,1,0,0,220,10,210,180,RIGHT
220,240,310,250,0,0,1,1,1,0,0,0,10,250,200,180,RIGHT
230,240,310,250,0,0,1,1,1,0,0,0,10,250,190,180,RIGHT
240,240,310,250,0,0,1,1,1,0,0,0,10,250,180,180,RIGHT
250,240,310,250,0,0,1,1,1,0,0,0,10,250,170,180,RIGHT
260,240,310,250,0,0,1,1,1,0,0,0,10,250,160,180,RIGHT
270,240,310,250,0,0,1,1,1,0,0,0,10,250,150,180,RIGHT
280,240,310,250,0,0,1,1,1,0,0,0,10,250,140,180,RIGHT
290,240,310,250,0,0,1,1,1,0,0,0,10,250,130,180,RIGHT
300,240,310,250,0,0,1,1,1,0,0,0,10,250,120,180,RIGHT
310,240,310,250,0,0,0,1,1,0,0,0,10,250,110,180,DOWN
310,270,60,80,1,1,0,0,0,1,0,0,320,10,110,150,LEFT
300,270,60,80,1,1,0,0,0,0,1,0,310,280,10,150,LEFT
290,270,60,80,1,1,0,0,0,0,1,0,300,280,10,150,LEFT
280,270,60,80,1,1,0,0,0,0,1,0,290,280,10,150,LEFT
270,270,60,80,1,1,0,0,0,0,1,0,280,280,10,150,UP
270,260,60,80,1,1,0,0,0,0,0,1,280,270,150,10,UP
270,250,60,80,1,1,0,0,0,0,0,1,280,260,150,10,LEFT
260,250,60,80,1,1,0,0,0,0,1,0,270,260,10,170,LEFT
250,250,60,80,1,1,0,0,0,0,1,0,260,260,10,170,UP
250,240,60,80,1,1,0,0,0,0,0,1,260,250,170,10,UP
250,230,60,80,1,1,0,0,0,0,0,1,260,240,170,10,UP
250,220,60,80,1,1,0,0,0,0,0,1,260,230,170,10,LEFT
240,220,60,80,1,1,0,0,0,0,1,0,250,230,10,200,LEFT
230,220,60,80,1,1,0,0,0,0,1,0,240,230,10,200,UP
230,210,60,80,1,1,0,0,0,0,0,1,240,220,190,10,UP
230,200,60,80,1,1,0,0,0,0,0,1,240,210,190,10,UP
230,190,60,80,1,1,0,0,0,0,0,1,240,200,190,10,LEFT
220,190,60,80,1,1,0,0,0,0,1,0,230,200,10,230,LEFT
210,190,60,80,1,1,0,0,0,0,1,0,220,200,10,230,UP
210,180,60,80,1,1,0,0,0,0,0,1,220,190,210,10,UP
210,170,60,80,1,1,0,0,0,0,0,1,220,180,210,10,LEFT
200,170,60,80,1,1,0,0,0,0,1,0,210,180,10,250,LEFT
190,170,60,80,1,1,0,0,0,0,1,0,200,180,10,250,LEFT
180,170,60,80,1,1,0,0,0,0,1,0,190,180,10,250,UP
180,160,60,80,1,1,0,0,0,0,0,1,190,170,240,10,UP
180,150,60,80,1,1,0,0,0,0,0,1,190,160,240,10,UP
180,140,60,80,1,1,0,0,0,0,0,1,190,150,240,10,UP
180,130,60,80,1,1,0,0,0,0,0,1,190,140,240,10,UP
180,120,60,80,1,1,0,0,0,0,0,1,190,130,240,10,UP
180,110,60,80,1,1,0,0,0,0,0,1,190,120,240,10,UP
180,100,60,80,1,1,0,0,0,0,0,1,190,110,240,10,LEFT
170,100,60,80,1,1,0,0,0,0,1,0,180,110,10,320,LEFT
160,100,60,80,1,1,0,0,0,0,1,0,170,110,10,320,LEFT
150,100,60,80,1,1,0,0,0,0,1,0,160,110,10,320,LEFT
140,100,60,80,1,1,0,0,0,0,1,0,150,110,10,320,LEFT
130,100,60,80,1,1,0,0,0,0,1,0,140,110,10,320,LEFT
120,100,60,80,1,1,0,0,0,0,1,0,130,110,10,320,LEFT
110,100,60,80,1,1,0,0,0,0,1,0,120,110,10,320,LEFT
100,100,60,80,1,1,0,0,0,0,1,0,110,110,10,320,LEFT
90,100,60,80,1,1,0,0,0,0,1,0,100,110,10,320,LEFT
80,100,60,80,1,1,0,0,0,0,1,0,90,110,10,320,LEFT
70,100,60,80,1,1,0,0,0,0,1,0,80,110,10,320,LEFT
60,100,60,80,0,1,0,0,0,0,1,0,70,110,10,320,UP
60,90,60,80,0,1,0,0,0,0,0,1,70,100,360,10,UP
60,60,200,300,0,0,1,1,0,0,0,1,70,70,360,10,RIGHT
70,60,200,300,0,0,1,1,1,0,0,0,10,70,350,360,RIGHT
80,60,200,300,0,0,1,1,1,0,0,0,10,70,340,360,RIGHT
90,60,200,300,0,0,1,1,1,0,0,0,10,70,330,360,RIGHT
100,60,200,300,0,0,1,1,1,0,0,0,10,70,320,360,RIGHT
110,60,200,300,0,0,1,1,1,0,0,0,10,70,310,360,RIGHT
120,60,200,300,0,0,1,1,1,0,0,0,10,70,300,360,RIGHT
130,60,200,300,0,0,1,1,1,0,0,0,10,70,290,360,RIGHT
140,60,200,300,0,0,1,1,1,0,0,0,10,70,280,360,RIGHT
150,60,200,300,0,0,1,1,1,0,0,0,10,70,270,360,RIGHT
160,60,200,300,0,0,1,1,1,0,0,0,10,70,260,360,RIGHT
170,60,200,300,0,0,1,1,1,0,0,0,10,70,250,360,RIGHT
180,60,200,300,0,0,1,1,1,0,0,0,10,70,240,360,RIGHT
190,60,200,300,0,0,1,1,1,0,0,0,10,70,230,360,RIGHT
200,60,200,300,0,0,0,1,1,0,0,0,10,70,220,360,DOWN
200,70,200,300,0,0,0,1,0,1,0,0,210,10,220,350,DOWN
200,80,200,300,0,0,0,1,0,1,0,0,210,10,220,340,DOWN
200,90,200,300,0,0,0,1,0,1,0,0,210,10,220,330,DOWN
200,100,200,300,0,0,0,1,0,1,0,0,210,10,220,320,DOWN
200,110,200,300,0,0,0,1,0,1,0,0,210,10,220,310,DOWN
200,120,200,300,0,0,0,1,0,1,0,0,210,10,220,300,DOWN
200,130,200,300,0,0,0,1,0,1,0,0,210,10,220,290,DOWN
200,140,200,300,0,0,0,1,0,1,0,0,210,10,220,280,DOWN
200,150,200,300,0,0,0,1,0,1,0,0,210,10,220,270,DOWN
200,160,200,300,0,0,0,1,0,1,0,0,210,10,220,260,DOWN
200,170,200,300,0,0,0,1,0,1,0,0,210,10,220,250,DOWN
