@relation snake_game-weka.filters.unsupervised.attribute.Remove-R13-15

@attribute head_x numeric
@attribute head_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute food_left numeric
@attribute food_up numeric
@attribute food_right numeric
@attribute food_down numeric
@attribute left_occ numeric
@attribute up_occ numeric
@attribute right_occ numeric
@attribute down_occ numeric
@attribute dist_left numeric
@attribute dist_up numeric
@attribute dist_right numeric
@attribute dist_down numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
100,50,360,290,0,0,1,1,1,0,0,0,10,60,320,370,RIGHT
110,50,360,290,0,0,1,1,1,0,0,0,10,60,310,370,RIGHT
120,50,360,290,0,0,1,1,1,0,0,0,10,60,300,370,RIGHT
130,50,360,290,0,0,1,1,1,0,0,0,10,60,290,370,DOWN
130,60,360,290,0,0,1,1,0,1,0,0,140,10,290,360,RIGHT
140,60,360,290,0,0,1,1,1,0,0,0,10,70,280,360,RIGHT
150,60,360,290,0,0,1,1,1,0,0,0,10,70,270,360,RIGHT
160,60,360,290,0,0,1,1,1,0,0,0,10,70,260,360,RIGHT
170,60,360,290,0,0,1,1,1,0,0,0,10,70,250,360,RIGHT
180,60,360,290,0,0,1,1,1,0,0,0,10,70,240,360,DOWN
180,70,360,290,0,0,1,1,0,1,0,0,190,10,240,350,DOWN
180,80,360,290,0,0,1,1,0,1,0,0,190,10,240,340,RIGHT
190,80,360,290,0,0,1,1,1,0,0,0,10,90,230,340,DOWN
190,90,360,290,0,0,1,1,0,1,0,0,200,10,230,330,RIGHT
200,90,360,290,0,0,1,1,1,0,0,0,10,100,220,330,RIGHT
210,90,360,290,0,0,1,1,1,0,0,0,10,100,210,330,DOWN
210,100,360,290,0,0,1,1,0,1,0,0,220,10,210,320,DOWN
210,110,360,290,0,0,1,1,0,1,0,0,220,10,210,310,DOWN
210,120,360,290,0,0,1,1,0,1,0,0,220,10,210,300,DOWN
210,130,360,290,0,0,1,1,0,1,0,0,220,10,210,290,DOWN
210,140,360,290,0,0,1,1,0,1,0,0,220,10,210,280,DOWN
210,150,360,290,0,0,1,1,0,1,0,0,220,10,210,270,DOWN
210,160,360,290,0,0,1,1,0,1,0,0,220,10,210,260,RIGHT
220,160,360,290,0,0,1,1,1,0,0,0,10,170,200,260,RIGHT
230,160,360,290,0,0,1,1,1,0,0,0,10,170,190,260,RIGHT
240,160,360,290,0,0,1,1,1,0,0,0,10,170,180,260,RIGHT
250,160,360,290,0,0,1,1,1,0,0,0,10,170,170,260,RIGHT
260,160,360,290,0,0,1,1,1,0,0,0,10,170,160,260,RIGHT
270,160,360,290,0,0,1,1,1,0,0,0,10,170,150,260,RIGHT
280,160,360,290,0,0,1,1,1,0,0,0,10,170,140,260,RIGHT
290,160,360,290,0,0,1,1,1,0,0,0,10,170,130,260,RIGHT
300,160,360,290,0,0,1,1,1,0,0,0,10,170,120,260,RIGHT
310,160,360,290,0,0,1,1,1,0,0,0,10,170,110,260,RIGHT
320,160,360,290,0,0,1,1,1,0,0,0,10,170,100,260,RIGHT
330,160,360,290,0,0,1,1,1,0,0,0,10,170,90,260,RIGHT
340,160,360,290,0,0,1,1,1,0,0,0,10,170,80,260,DOWN
340,170,360,290,0,0,1,1,0,1,0,0,350,10,80,250,DOWN
340,180,360,290,0,0,1,1,0,1,0,0,350,10,80,240,DOWN
340,190,360,290,0,0,1,1,0,1,0,0,350,10,80,230,RIGHT
350,190,360,290,0,0,1,1,1,0,0,0,10,200,70,230,DOWN
350,200,360,290,0,0,1,1,0,1,0,0,360,10,70,220,DOWN
350,210,360,290,0,0,1,1,0,1,0,0,360,10,70,210,RIGHT
360,210,360,290,0,0,0,1,1,0,0,0,10,220,60,210,DOWN
360,220,360,290,0,0,0,1,0,1,0,0,370,10,60,200,DOWN
360,230,360,290,0,0,0,1,0,1,0,0,370,10,60,190,DOWN
360,240,360,290,0,0,0,1,0,1,0,0,370,10,60,180,DOWN
360,250,360,290,0,0,0,1,0,1,0,0,370,10,60,170,DOWN
360,260,360,290,0,0,0,1,0,1,0,0,370,10,60,160,DOWN
360,270,360,290,0,0,0,1,0,1,0,0,370,10,60,150,DOWN
360,280,360,290,0,0,0,1,0,1,0,0,370,10,60,140,DOWN
360,290,280,200,1,1,0,0,0,1,0,0,370,10,60,130,LEFT
350,290,280,200,1,1,0,0,0,0,1,0,360,300,10,130,LEFT
340,290,280,200,1,1,0,0,0,0,1,0,350,300,10,130,LEFT
330,290,280,200,1,1,0,0,0,0,1,0,340,300,10,130,LEFT
320,290,280,200,1,1,0,0,0,0,1,0,330,300,10,130,LEFT
310,290,280,200,1,1,0,0,0,0,1,0,320,300,10,130,LEFT
300,290,280,200,1,1,0,0,0,0,1,0,310,300,10,130,LEFT
290,290,280,200,1,1,0,0,0,0,1,0,300,300,10,130,UP
290,280,280,200,1,1,0,0,0,0,0,1,300,290,130,10,UP
290,270,280,200,1,1,0,0,0,0,0,1,300,280,130,10,UP
290,260,280,200,1,1,0,0,0,0,0,1,300,270,130,10,UP
290,250,280,200,1,1,0,0,0,0,0,1,300,260,130,10,UP
290,240,280,200,1,1,0,0,0,0,0,1,300,250,130,10,UP
290,230,280,200,1,1,0,0,0,0,0,1,300,240,130,10,UP
290,220,280,200,1,1,0,0,0,0,0,1,300,230,130,10,LEFT
280,220,280,200,0,1,0,0,0,0,1,0,290,230,10,200,UP
280,210,280,200,0,1,0,0,0,0,0,1,290,220,140,10,UP
280,200,140,340,1,0,0,1,0,0,0,1,290,210,140,10,LEFT
270,200,140,340,1,0,0,1,0,0,1,0,280,210,10,220,DOWN
270,210,140,340,1,0,0,1,0,1,1,0,280,10,10,210,DOWN
270,220,140,340,1,0,0,1,0,1,0,0,280,10,150,200,DOWN
270,230,140,340,1,0,0,1,0,1,0,0,280,10,150,190,DOWN
270,240,140,340,1,0,0,1,0,1,0,0,280,10,150,180,LEFT
260,240,140,340,1,0,0,1,0,0,1,0,270,250,10,180,DOWN
260,250,140,340,1,0,0,1,0,1,0,0,270,10,160,170,LEFT
250,250,140,340,1,0,0,1,0,0,1,0,260,260,10,170,DOWN
250,260,140,340,1,0,0,1,0,1,0,0,260,10,170,160,LEFT
240,260,140,340,1,0,0,1,0,0,1,0,250,270,10,160,LEFT
230,260,140,340,1,0,0,1,0,0,1,0,240,270,10,160,DOWN
230,270,140,340,1,0,0,1,0,1,0,0,240,10,190,150,DOWN
230,280,140,340,1,0,0,1,0,1,0,0,240,10,190,140,LEFT
220,280,140,340,1,0,0,1,0,0,1,0,230,290,10,140,LEFT
210,280,140,340,1,0,0,1,0,0,1,0,220,290,10,140,LEFT
200,280,140,340,1,0,0,1,0,0,1,0,210,290,10,140,LEFT
190,280,140,340,1,0,0,1,0,0,1,0,200,290,10,140,LEFT
180,280,140,340,1,0,0,1,0,0,1,0,190,290,10,140,LEFT
170,280,140,340,1,0,0,1,0,0,1,0,180,290,10,140,LEFT
160,280,140,340,1,0,0,1,0,0,1,0,170,290,10,140,DOWN
160,290,140,340,1,0,0,1,0,1,0,0,170,10,260,130,DOWN
160,300,140,340,1,0,0,1,0,1,0,0,170,10,260,120,DOWN
160,310,140,340,1,0,0,1,0,1,0,0,170,10,260,110,LEFT
150,310,140,340,1,0,0,1,0,0,1,0,160,320,10,110,DOWN
150,320,140,340,1,0,0,1,0,1,0,0,160,10,270,100,DOWN
150,330,140,340,1,0,0,1,0,1,0,0,160,10,270,90,DOWN
150,340,140,340,1,0,0,0,0,1,0,0,160,10,270,80,LEFT
140,340,40,410,1,0,0,1,0,0,1,0,150,350,10,80,LEFT
130,340,40,410,1,0,0,1,0,0,1,0,140,350,10,80,DOWN
130,350,40,410,1,0,0,1,0,1,0,0,140,10,290,70,DOWN
130,360,40,410,1,0,0,1,0,1,0,0,140,10,290,60,DOWN
130,370,40,410,1,0,0,1,0,1,0,0,140,10,290,50,DOWN
130,380,40,410,1,0,0,1,0,1,0,0,140,10,290,40,LEFT
120,380,40,410,1,0,0,1,0,0,1,0,130,390,10,40,LEFT
110,380,40,410,1,0,0,1,0,0,1,0,120,390,10,40,LEFT
100,380,40,410,1,0,0,1,0,0,1,0,110,390,10,40,DOWN
100,390,40,410,1,0,0,1,0,1,0,0,110,10,320,30,LEFT
90,390,40,410,1,0,0,1,0,0,1,0,100,400,10,30,DOWN
90,400,40,410,1,0,0,1,0,1,0,0,100,10,330,20,LEFT
80,400,40,410,1,0,0,1,0,0,1,0,90,410,10,20,LEFT
70,400,40,410,1,0,0,1,0,0,1,0,80,410,10,20,LEFT
60,400,40,410,1,0,0,1,0,0,1,0,70,410,10,20,LEFT
50,400,40,410,1,0,0,1,0,0,1,0,60,410,10,20,LEFT
40,400,40,410,0,0,0,1,0,0,1,0,50,410,10,20,DOWN
40,410,330,320,0,1,1,0,0,1,0,1,50,10,380,10,RIGHT
50,410,330,320,0,1,1,0,1,1,0,1,10,10,370,10,RIGHT
60,410,330,320,0,1,1,0,1,1,0,1,10,10,360,10,RIGHT
70,410,330,320,0,1,1,0,1,0,0,1,10,420,350,10,RIGHT
80,410,330,320,0,1,1,0,1,0,0,1,10,420,340,10,UP
80,400,330,320,0,1,1,0,0,0,0,1,90,410,340,10,RIGHT
90,400,330,320,0,1,1,0,1,0,0,0,10,410,330,20,UP
90,390,330,320,0,1,1,0,0,0,0,1,100,400,330,10,RIGHT
100,390,330,320,0,1,1,0,1,0,0,0,10,400,320,30,RIGHT
110,390,330,320,0,1,1,0,1,0,0,0,10,400,310,30,RIGHT
120,390,330,320,0,1,1,0,1,0,0,0,10,400,300,30,UP
120,380,330,320,0,1,1,0,0,0,0,1,130,390,300,10,RIGHT
130,380,330,320,0,1,1,0,1,0,0,0,10,390,290,40,RIGHT
140,380,330,320,0,1,1,0,1,0,0,0,10,390,280,40,UP
140,370,330,320,0,1,1,0,0,0,0,1,150,380,280,10,RIGHT
150,370,330,320,0,1,1,0,1,0,0,0,10,380,270,50,RIGHT
160,370,330,320,0,1,1,0,1,0,0,0,10,380,260,50,RIGHT
170,370,330,320,0,1,1,0,1,0,0,0,10,380,250,50,UP
170,360,330,320,0,1,1,0,0,0,0,1,180,370,250,10,RIGHT
180,360,330,320,0,1,1,0,1,0,0,0,10,370,240,60,RIGHT
190,360,330,320,0,1,1,0,1,0,0,0,10,370,230,60,UP
190,350,330,320,0,1,1,0,0,0,0,1,200,360,230,10,RIGHT
200,350,330,320,0,1,1,0,1,0,0,0,10,360,220,70,RIGHT
210,350,330,320,0,1,1,0,1,0,0,0,10,360,210,70,UP
210,340,330,320,0,1,1,0,0,0,0,1,220,350,210,10,UP
210,330,330,320,0,1,1,0,0,0,0,1,220,340,210,10,UP
210,320,330,320,0,0,1,0,0,0,0,1,220,330,210,10,RIGHT
220,320,330,320,0,0,1,0,1,0,0,0,10,330,200,100,RIGHT
230,320,330,320,0,0,1,0,1,0,0,0,10,330,190,100,RIGHT
240,320,330,320,0,0,1,0,1,0,0,0,10,330,180,100,RIGHT
250,320,330,320,0,0,1,0,1,0,0,0,10,330,170,100,RIGHT
260,320,330,320,0,0,1,0,1,0,0,0,10,330,160,100,RIGHT
270,320,330,320,0,0,1,0,1,0,0,0,10,330,150,100,RIGHT
280,320,330,320,0,0,1,0,1,0,0,0,10,330,140,100,RIGHT
290,320,330,320,0,0,1,0,1,0,0,0,10,330,130,100,RIGHT
300,320,330,320,0,0,1,0,1,0,0,0,10,330,120,100,RIGHT
310,320,330,320,0,0,1,0,1,0,0,0,10,330,110,100,RIGHT
320,320,330,320,0,0,1,0,1,0,0,0,10,330,100,100,RIGHT
330,320,390,10,0,1,1,0,1,0,0,0,10,330,90,100,UP
330,310,390,10,0,1,1,0,0,0,0,1,340,320,90,10,UP
330,300,390,10,0,1,1,0,0,0,0,1,340,310,90,10,RIGHT
340,300,390,10,0,1,1,0,1,0,0,0,10,310,80,120,RIGHT
350,300,390,10,0,1,1,0,1,0,0,0,10,310,70,120,UP
350,290,390,10,0,1,1,0,0,0,0,1,360,300,70,10,UP
350,280,390,10,0,1,1,0,0,0,0,1,360,290,70,10,UP
350,270,390,10,0,1,1,0,0,0,0,1,360,280,70,10,RIGHT
360,270,390,10,0,1,1,0,1,0,0,0,10,280,60,150,UP
360,260,390,10,0,1,1,0,0,0,0,1,370,270,60,10,UP
360,250,390,10,0,1,1,0,0,0,0,1,370,260,60,10,UP
360,240,390,10,0,1,1,0,0,0,0,1,370,250,60,10,UP
360,230,390,10,0,1,1,0,0,0,0,1,370,240,60,10,RIGHT
370,230,390,10,0,1,1,0,1,0,0,0,10,240,50,190,UP
370,220,390,10,0,1,1,0,0,0,0,1,380,230,50,10,UP
370,210,390,10,0,1,1,0,0,0,0,1,380,220,50,10,UP
370,200,390,10,0,1,1,0,0,0,0,1,380,210,50,10,RIGHT
380,200,390,10,0,1,1,0,1,0,0,0,10,210,40,220,RIGHT
390,200,390,10,0,1,0,0,1,0,0,0,10,210,30,220,UP
390,190,390,10,0,1,0,0,0,0,0,1,400,200,30,10,UP
390,180,390,10,0,1,0,0,0,0,0,1,400,190,30,10,UP
390,170,390,10,0,1,0,0,0,0,0,1,400,180,30,10,UP
390,160,390,10,0,1,0,0,0,0,0,1,400,170,30,10,UP
390,150,390,10,0,1,0,0,0,0,0,1,400,160,30,10,UP
390,140,390,10,0,1,0,0,0,0,0,1,400,150,30,10,UP
390,130,390,10,0,1,0,0,0,0,0,1,400,140,30,10,UP
390,120,390,10,0,1,0,0,0,0,0,1,400,130,30,10,UP
390,110,390,10,0,1,0,0,0,0,0,1,400,120,30,10,UP
390,100,390,10,0,1,0,0,0,0,0,1,400,110,30,10,UP
390,90,390,10,0,1,0,0,0,0,0,1,400,100,30,10,UP
390,80,390,10,0,1,0,0,0,0,0,1,400,90,30,10,UP
390,70,390,10,0,1,0,0,0,0,0,1,400,80,30,10,UP
390,60,390,10,0,1,0,0,0,0,0,1,400,70,30,10,UP
390,50,390,10,0,1,0,0,0,0,0,1,400,60,30,10,UP
390,40,390,10,0,1,0,0,0,0,0,1,400,50,30,10,UP
390,30,390,10,0,1,0,0,0,0,0,1,400,40,30,10,UP
390,20,390,10,0,1,0,0,0,0,0,1,400,30,30,10,UP
390,10,70,20,1,0,0,1,0,0,0,1,400,20,30,10,LEFT
380,10,70,20,1,0,0,1,0,0,1,0,390,20,10,410,LEFT
370,10,70,20,1,0,0,1,0,0,1,0,380,20,10,410,DOWN
370,20,70,20,1,0,0,0,0,1,0,0,380,10,20,400,LEFT
360,20,70,20,1,0,0,0,0,0,1,0,370,30,10,400,LEFT
350,20,70,20,1,0,0,0,0,0,1,0,360,30,10,400,LEFT
340,20,70,20,1,0,0,0,0,0,1,0,350,30,10,400,LEFT
330,20,70,20,1,0,0,0,0,0,1,0,340,30,10,400,LEFT
320,20,70,20,1,0,0,0,0,0,1,0,330,30,10,400,LEFT
310,20,70,20,1,0,0,0,0,0,1,0,320,30,10,400,LEFT
300,20,70,20,1,0,0,0,0,0,1,0,310,30,10,400,LEFT
290,20,70,20,1,0,0,0,0,0,1,0,300,30,10,400,LEFT
280,20,70,20,1,0,0,0,0,0,1,0,290,30,10,400,LEFT
270,20,70,20,1,0,0,0,0,0,1,0,280,30,10,400,LEFT
260,20,70,20,1,0,0,0,0,0,1,0,270,30,10,400,LEFT
250,20,70,20,1,0,0,0,0,0,1,0,260,30,10,400,LEFT
240,20,70,20,1,0,0,0,0,0,1,0,250,30,10,400,LEFT
230,20,70,20,1,0,0,0,0,0,1,0,240,30,10,400,LEFT
220,20,70,20,1,0,0,0,0,0,1,0,230,30,10,400,LEFT
210,20,70,20,1,0,0,0,0,0,1,0,220,30,10,400,LEFT
200,20,70,20,1,0,0,0,0,0,1,0,210,30,10,400,LEFT
190,20,70,20,1,0,0,0,0,0,1,0,200,30,10,400,LEFT
180,20,70,20,1,0,0,0,0,0,1,0,190,30,10,400,LEFT
170,20,70,20,1,0,0,0,0,0,1,0,180,30,10,400,LEFT
160,20,70,20,1,0,0,0,0,0,1,0,170,30,10,400,LEFT
150,20,70,20,1,0,0,0,0,0,1,0,160,30,10,400,LEFT
140,20,70,20,1,0,0,0,0,0,1,0,150,30,10,400,LEFT
130,20,70,20,1,0,0,0,0,0,1,0,140,30,10,400,LEFT
120,20,70,20,1,0,0,0,0,0,1,0,130,30,10,400,LEFT
110,20,70,20,1,0,0,0,0,0,1,0,120,30,10,400,LEFT
100,20,70,20,1,0,0,0,0,0,1,0,110,30,10,400,LEFT
90,20,70,20,1,0,0,0,0,0,1,0,100,30,10,400,LEFT
80,20,70,20,1,0,0,0,0,0,1,0,90,30,10,400,LEFT
70,20,50,50,1,0,0,1,0,0,1,0,80,30,10,400,LEFT
60,20,50,50,1,0,0,1,0,0,1,0,70,30,10,400,DOWN
60,30,50,50,1,0,0,1,0,1,0,0,70,10,360,390,LEFT
50,30,50,50,0,0,0,1,0,0,1,0,60,40,10,390,DOWN
50,40,50,50,0,0,0,1,0,1,0,0,60,10,370,380,DOWN
50,50,270,170,0,0,1,1,0,1,0,0,60,10,370,370,RIGHT
60,50,270,170,0,0,1,1,1,0,0,0,10,20,360,370,RIGHT
70,50,270,170,0,0,1,1,1,0,0,0,10,30,350,370,RIGHT
80,50,270,170,0,0,1,1,1,0,0,0,10,30,340,370,DOWN
80,60,270,170,0,0,1,1,0,1,0,0,90,10,340,360,DOWN
80,70,270,170,0,0,1,1,0,1,0,0,90,10,340,350,RIGHT
90,70,270,170,0,0,1,1,1,0,0,0,10,80,330,350,DOWN
90,80,270,170,0,0,1,1,0,1,0,0,100,10,330,340,RIGHT
100,80,270,170,0,0,1,1,1,0,0,0,10,90,320,340,DOWN
100,90,270,170,0,0,1,1,0,1,0,0,110,10,320,330,DOWN
100,100,270,170,0,0,1,1,0,1,0,0,110,10,320,320,DOWN
100,110,270,170,0,0,1,1,0,1,0,0,110,10,320,310,RIGHT
110,110,270,170,0,0,1,1,1,0,0,0,10,120,310,310,DOWN
110,120,270,170,0,0,1,1,0,1,0,0,120,10,310,300,DOWN
110,130,270,170,0,0,1,1,0,1,0,0,120,10,310,290,RIGHT
120,130,270,170,0,0,1,1,1,0,0,0,10,140,300,290,RIGHT
130,130,270,170,0,0,1,1,1,0,0,0,10,140,290,290,RIGHT
140,130,270,170,0,0,1,1,1,0,0,0,10,140,280,290,RIGHT
150,130,270,170,0,0,1,1,1,0,0,0,10,140,270,290,RIGHT
160,130,270,170,0,0,1,1,1,0,0,0,10,140,260,290,RIGHT
170,130,270,170,0,0,1,1,1,0,0,0,10,140,250,290,DOWN
170,140,270,170,0,0,1,1,0,1,0,0,180,10,250,280,DOWN
170,150,270,170,0,0,1,1,0,1,0,0,180,10,250,270,RIGHT
180,150,270,170,0,0,1,1,1,0,0,0,10,160,240,270,DOWN
180,160,270,170,0,0,1,1,0,1,0,0,190,10,240,260,RIGHT
190,160,270,170,0,0,1,1,1,0,0,0,10,170,230,260,RIGHT
200,160,270,170,0,0,1,1,1,0,0,0,10,170,220,260,RIGHT
210,160,270,170,0,0,1,1,1,0,0,0,10,170,210,260,RIGHT
220,160,270,170,0,0,1,1,1,0,0,0,10,170,200,260,RIGHT
230,160,270,170,0,0,1,1,1,0,0,0,10,170,190,260,DOWN
230,170,270,170,0,0,1,0,0,1,0,0,240,10,190,250,RIGHT
240,170,270,170,0,0,1,0,1,0,0,0,10,180,180,250,RIGHT
250,170,270,170,0,0,1,0,1,0,0,0,10,180,170,250,RIGHT
260,170,270,170,0,0,1,0,1,0,0,0,10,180,160,250,RIGHT
270,170,200,120,1,1,0,0,1,0,0,0,10,180,150,250,UP
270,160,200,120,1,1,0,0,0,0,0,1,40,170,150,10,UP
270,150,200,120,1,1,0,0,0,0,0,1,280,160,150,10,UP
270,140,200,120,1,1,0,0,0,0,0,1,280,150,150,10,UP
270,130,200,120,1,1,0,0,0,0,0,1,280,140,150,10,LEFT
260,130,200,120,1,1,0,0,0,0,1,0,270,140,10,40,LEFT
250,130,200,120,1,1,0,0,0,0,1,0,260,140,10,40,LEFT
240,130,200,120,1,1,0,0,0,0,1,0,250,140,10,40,LEFT
230,130,200,120,1,1,0,0,0,0,1,0,240,140,10,290,UP
230,120,200,120,1,0,0,0,0,0,0,1,240,130,190,10,LEFT
220,120,200,120,1,0,0,0,0,0,1,0,230,130,10,300,LEFT
210,120,200,120,1,0,0,0,0,0,1,0,220,130,10,300,LEFT
200,120,210,80,0,1,1,0,0,0,1,0,210,130,10,300,UP
200,110,210,80,0,1,1,0,0,0,0,1,210,120,220,10,RIGHT
210,110,210,80,0,1,0,0,1,0,0,1,10,120,210,10,UP
210,100,210,80,0,1,0,0,0,0,0,1,220,110,210,10,UP
210,90,210,80,0,1,0,0,0,0,0,1,220,100,210,10,UP
210,80,400,180,0,0,1,1,0,0,0,1,220,90,210,10,RIGHT
220,80,400,180,0,0,1,1,1,0,0,0,10,90,200,40,RIGHT
230,80,400,180,0,0,1,1,1,0,0,0,10,90,190,40,DOWN
230,90,400,180,0,0,1,1,0,1,0,0,20,10,190,30,DOWN
230,100,400,180,0,0,1,1,0,1,0,0,20,10,190,20,DOWN
230,110,400,180,0,0,1,1,0,1,0,0,20,10,190,310,RIGHT
240,110,400,180,0,0,1,1,1,0,0,0,10,120,180,310,DOWN
240,120,400,180,0,0,1,1,0,1,0,0,40,10,180,300,DOWN
240,130,400,180,0,0,1,1,0,1,0,0,250,10,180,290,RIGHT
250,130,400,180,0,0,1,1,1,0,0,0,10,140,170,290,DOWN
250,140,400,180,0,0,1,1,0,1,0,0,260,10,170,280,RIGHT
260,140,400,180,0,0,1,1,1,0,0,0,10,150,160,280,RIGHT
270,140,400,180,0,0,1,1,1,0,0,0,10,150,150,280,DOWN
270,150,400,180,0,0,1,1,0,1,0,0,280,10,150,270,DOWN
270,160,400,180,0,0,1,1,0,1,0,0,280,10,150,260,RIGHT
280,160,400,180,0,0,1,1,1,0,0,0,10,170,140,260,DOWN
280,170,400,180,0,0,1,1,0,1,0,0,290,10,140,250,RIGHT
290,170,400,180,0,0,1,1,1,0,0,0,10,180,130,250,RIGHT
300,170,400,180,0,0,1,1,1,0,0,0,10,180,120,250,RIGHT
310,170,400,180,0,0,1,1,1,0,0,0,10,180,110,250,RIGHT
320,170,400,180,0,0,1,1,1,0,0,0,10,180,100,250,RIGHT
330,170,400,180,0,0,1,1,1,0,0,0,10,180,90,250,RIGHT
340,170,400,180,0,0,1,1,1,0,0,0,10,180,80,250,RIGHT
350,170,400,180,0,0,1,1,1,0,0,0,10,180,70,250,RIGHT
360,170,400,180,0,0,1,1,1,0,0,0,10,180,60,250,RIGHT
370,170,400,180,0,0,1,1,1,0,0,0,10,180,50,250,DOWN
370,180,400,180,0,0,1,0,0,1,0,0,380,10,50,240,RIGHT
380,180,400,180,0,0,1,0,1,0,0,0,10,190,40,240,RIGHT
390,180,400,180,0,0,1,0,1,0,0,0,10,190,30,240,RIGHT
400,180,160,110,1,1,0,0,1,0,0,0,10,190,20,240,UP
400,170,160,110,1,1,0,0,0,0,0,1,30,180,20,10,UP
400,160,160,110,1,1,0,0,0,0,0,1,410,170,20,10,LEFT
390,160,160,110,1,1,0,0,0,0,1,0,400,170,10,20,LEFT
380,160,160,110,1,1,0,0,0,0,1,0,390,170,10,20,LEFT
370,160,160,110,1,1,0,0,0,0,1,1,380,170,10,10,LEFT
360,160,160,110,1,1,0,0,0,0,1,1,370,170,10,10,LEFT
350,160,160,110,1,1,0,0,0,0,1,1,360,170,10,10,LEFT
340,160,160,110,1,1,0,0,0,0,1,0,350,170,10,260,LEFT
330,160,160,110,1,1,0,0,0,0,1,0,340,170,10,260,LEFT
320,160,160,110,1,1,0,0,0,0,1,0,330,170,10,260,LEFT
310,160,160,110,1,1,0,0,0,0,1,0,320,170,10,260,UP
310,150,160,110,1,1,0,0,0,0,0,1,320,160,110,10,LEFT
300,150,160,110,1,1,0,0,0,0,1,0,310,160,10,270,LEFT
290,150,160,110,1,1,0,0,0,0,1,0,300,160,10,270,UP
290,140,160,110,1,1,0,0,0,0,0,1,300,150,130,10,LEFT
280,140,160,110,1,1,0,0,0,0,1,0,290,150,10,280,LEFT
270,140,160,110,1,1,0,0,0,0,1,0,280,150,10,280,UP
270,130,160,110,1,1,0,0,0,0,0,1,280,140,150,10,UP
270,120,160,110,1,1,0,0,0,0,0,1,280,130,150,10,LEFT
260,120,160,110,1,1,0,0,0,0,1,0,270,130,10,300,LEFT
250,120,160,110,1,1,0,0,0,0,1,0,260,130,10,300,LEFT
240,120,160,110,1,1,0,0,0,0,1,0,250,130,10,300,LEFT
