@relation snake_game-weka.filters.unsupervised.attribute.Remove-R13-15

@attribute head_x numeric
@attribute head_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute food_left numeric
@attribute food_up numeric
@attribute food_right numeric
@attribute food_down numeric
@attribute left_occ numeric
@attribute up_occ numeric
@attribute right_occ numeric
@attribute down_occ numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
100,50,410,70,0,0,1,1,1,0,0,0,RIGHT
110,50,410,70,0,0,1,1,1,0,0,0,RIGHT
120,50,410,70,0,0,1,1,1,0,0,0,RIGHT
130,50,410,70,0,0,1,1,1,0,0,0,RIGHT
140,50,410,70,0,0,1,1,1,0,0,0,RIGHT
150,50,410,70,0,0,1,1,1,0,0,0,RIGHT
160,50,410,70,0,0,1,1,1,0,0,0,RIGHT
170,50,410,70,0,0,1,1,1,0,0,0,RIGHT
180,50,410,70,0,0,1,1,1,0,0,0,RIGHT
190,50,410,70,0,0,1,1,1,0,0,0,RIGHT
200,50,410,70,0,0,1,1,1,0,0,0,RIGHT
210,50,410,70,0,0,1,1,1,0,0,0,RIGHT
220,50,410,70,0,0,1,1,1,0,0,0,RIGHT
230,50,410,70,0,0,1,1,1,0,0,0,RIGHT
240,50,410,70,0,0,1,1,1,0,0,0,RIGHT
250,50,410,70,0,0,1,1,1,0,0,0,RIGHT
260,50,410,70,0,0,1,1,1,0,0,0,RIGHT
270,50,410,70,0,0,1,1,1,0,0,0,RIGHT
280,50,410,70,0,0,1,1,1,0,0,0,RIGHT
290,50,410,70,0,0,1,1,1,0,0,0,RIGHT
300,50,410,70,0,0,1,1,1,0,0,0,RIGHT
310,50,410,70,0,0,1,1,1,0,0,0,RIGHT
320,50,410,70,0,0,1,1,1,0,0,0,RIGHT
330,50,410,70,0,0,1,1,1,0,0,0,RIGHT
340,50,410,70,0,0,1,1,1,0,0,0,RIGHT
350,50,410,70,0,0,1,1,1,0,0,0,RIGHT
360,50,410,70,0,0,1,1,1,0,0,0,RIGHT
370,50,410,70,0,0,1,1,1,0,0,0,RIGHT
380,50,410,70,0,0,1,1,1,0,0,0,RIGHT
390,50,410,70,0,0,1,1,1,0,0,0,RIGHT
400,50,410,70,0,0,1,1,1,0,0,0,RIGHT
410,50,410,70,0,0,0,1,1,0,1,0,DOWN
410,60,410,70,0,0,0,1,0,1,1,0,DOWN
410,70,340,160,1,0,0,1,0,1,1,0,DOWN
410,80,340,160,1,0,0,1,0,1,1,0,DOWN
410,90,340,160,1,0,0,1,0,1,1,0,DOWN
410,100,340,160,1,0,0,1,0,1,1,0,DOWN
410,110,340,160,1,0,0,1,0,1,1,0,DOWN
410,120,340,160,1,0,0,1,0,1,1,0,DOWN
410,130,340,160,1,0,0,1,0,1,1,0,DOWN
410,140,340,160,1,0,0,1,0,1,1,0,DOWN
410,150,340,160,1,0,0,1,0,1,1,0,DOWN
410,160,340,160,1,0,0,0,0,1,1,0,LEFT
400,160,340,160,1,0,0,0,0,0,1,0,LEFT
390,160,340,160,1,0,0,0,0,0,1,0,LEFT
380,160,340,160,1,0,0,0,0,0,1,0,LEFT
370,160,340,160,1,0,0,0,0,0,1,0,LEFT
360,160,340,160,1,0,0,0,0,0,1,0,LEFT
350,160,340,160,1,0,0,0,0,0,1,0,LEFT
340,160,50,80,1,1,0,0,0,0,1,0,LEFT
330,160,50,80,1,1,0,0,0,0,1,0,LEFT
320,160,50,80,1,1,0,0,0,0,1,0,LEFT
310,160,50,80,1,1,0,0,0,0,1,0,LEFT
300,160,50,80,1,1,0,0,0,0,1,0,LEFT
290,160,50,80,1,1,0,0,0,0,1,0,LEFT
280,160,50,80,1,1,0,0,0,0,1,0,LEFT
270,160,50,80,1,1,0,0,0,0,1,0,LEFT
